,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q
29,Pendulum-v0,122,-162.87805131051633,30199,151,245.6575162410736,51.71906280517578,6.906540870666504,-52.778465270996094
30,Pendulum-v0,122,-160.94700072689622,31199,156,253.9235303401947,38.353145599365234,9.438308715820312,-40.924896240234375
31,Pendulum-v0,122,-160.42264816919388,32199,161,262.72399258613586,50.84677505493164,88.00125122070312,-51.78700256347656
32,Pendulum-v0,122,-162.50903381768998,33199,166,271.163765668869,50.57246780395508,520.7381591796875,-51.084964752197266
33,Pendulum-v0,122,-165.28965995069325,34199,171,279.7623493671417,49.7783317565918,275.73016357421875,-50.58668518066406
34,Pendulum-v0,121,-169.48993483047573,35199,176,288.81535720825195,44.23391342163086,3.9762139320373535,-45.18864440917969
35,Pendulum-v0,121,-169.91219863619114,36199,181,297.06040620803833,36.69627380371094,351.36627197265625,-37.332733154296875
36,Pendulum-v0,121,-169.53787699670465,37199,186,305.7658712863922,39.65098571777344,5.776925563812256,-41.160133361816406
37,Pendulum-v0,121,-165.66567084910562,38199,191,314.339448928833,42.928741455078125,7.4629740715026855,-44.956993103027344
38,Pendulum-v0,121,-169.6952788969497,39199,196,322.43374133110046,39.95002746582031,5.174159526824951,-41.68246841430664
39,Pendulum-v0,121,-170.86311818356512,40199,201,329.52116227149963,49.236412048339844,95.30828857421875,-49.71990966796875
40,Pendulum-v0,122,-165.9117417015191,41199,206,337.6206274032593,38.02843475341797,6.31500244140625,-39.288475036621094
41,Pendulum-v0,121,-161.16674785751005,42199,211,346.3471267223358,34.02622985839844,6.757333755493164,-35.2059440612793
42,Pendulum-v0,121,-158.80887369162608,43199,216,354.64600586891174,37.99626159667969,8.301523208618164,-39.40256118774414
43,Pendulum-v0,121,-157.7532111540907,44199,221,363.3282446861267,41.11069869995117,556.0045166015625,-41.30913543701172
44,Pendulum-v0,121,-156.53193412076655,45199,226,370.59749722480774,35.466278076171875,332.592529296875,-36.032440185546875
45,Pendulum-v0,122,-159.10046376942418,46199,231,378.25421166419983,30.141239166259766,2.3437674045562744,-31.255128860473633
46,Pendulum-v0,122,-158.18442727439498,47199,236,386.53330421447754,31.503402709960938,3.9057843685150146,-32.901424407958984
47,Pendulum-v0,122,-155.95649254112723,48199,241,395.0603518486023,28.549182891845703,2.070409059524536,-29.301071166992188
48,Pendulum-v0,121,-156.15099679756855,49199,246,403.7249457836151,35.93788146972656,3.2913804054260254,-36.846519470214844
