,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-100Env-v0,330,11.464561234829379,2001,2,6.047653436660767,,,,0.0
1,MetaDrive-Tut-100Env-v0,320,11.644550648049474,3002,3,9.37973141670227,,,,0.0
2,MetaDrive-Tut-100Env-v0,338,11.073548238708323,4003,4,11.841733932495117,,,,0.0
3,MetaDrive-Tut-100Env-v0,345,11.3169856656349,5004,5,14.463934183120728,,,,0.0
4,MetaDrive-Tut-100Env-v0,342,11.410515858204453,6005,6,17.541442155838013,,,,0.0
5,MetaDrive-Tut-100Env-v0,345,11.66092503347289,7006,7,20.298590660095215,,,,0.0
6,MetaDrive-Tut-100Env-v0,348,11.309755854466935,8007,8,22.98433756828308,,,,0.0
7,MetaDrive-Tut-100Env-v0,342,11.237396653905156,9008,9,26.327500104904175,,,,0.0
8,MetaDrive-Tut-100Env-v0,297,11.144433690980744,10009,10,33.69064545631409,0.008890096098184586,-0.016183074563741684,0.0025260162074118853,0.0
9,MetaDrive-Tut-100Env-v0,18,2.407114345533433,11011,46,582.1910483837128,0.07159723341464996,-0.08343339711427689,0.005882609635591507,0.0
