,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-20Env-v0,400,11.41243924773189,2001,2,4.992844820022583,,,,0.0
1,MetaDrive-Tut-20Env-v0,418,8.959237796797929,3644,4,8.701430320739746,,,,0.0
2,MetaDrive-Tut-20Env-v0,382,9.33792133205533,4645,5,12.13953423500061,,,,0.0
3,MetaDrive-Tut-20Env-v0,355,9.885837561872636,5646,6,15.900572538375854,,,,0.0
4,MetaDrive-Tut-20Env-v0,366,9.976895228529637,6647,7,18.15140962600708,,,,0.0
5,MetaDrive-Tut-20Env-v0,361,10.343294940006109,7648,8,21.135254383087158,,,,0.0
6,MetaDrive-Tut-20Env-v0,361,10.159247448582192,8649,9,23.927404403686523,,,,0.0
7,MetaDrive-Tut-20Env-v0,370,10.240292363306796,9650,10,26.080828428268433,,,,0.0
8,MetaDrive-Tut-20Env-v0,338,10.4357629233617,10063,11,29.736165046691895,0.011663476005196571,-0.01982155442237854,0.0008038848754949868,0.0
9,MetaDrive-Tut-20Env-v0,28,1.3200690175202823,11835,45,414.18783712387085,0.05029094219207764,-0.08000259101390839,0.19892892241477966,0.0
