,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-5Env-v0,281,9.281057592320415,1959,2,6.959573030471802,,,,0.0
1,MetaDrive-Tut-5Env-v0,324,10.064488782140442,2960,3,9.111053466796875,,,,0.0
2,MetaDrive-Tut-5Env-v0,294,9.951609772765096,3961,4,13.469703435897827,,,,0.0
3,MetaDrive-Tut-5Env-v0,315,10.702527358454692,4962,5,15.712830066680908,,,,0.0
4,MetaDrive-Tut-5Env-v0,325,10.859620882846867,5963,6,18.30569100379944,,,,0.0
5,MetaDrive-Tut-5Env-v0,341,11.194946688313468,6964,7,20.369043588638306,,,,0.0
6,MetaDrive-Tut-5Env-v0,352,11.019171763535052,7965,8,22.60782480239868,,,,0.0
7,MetaDrive-Tut-5Env-v0,333,11.131311937872226,8966,9,26.909541606903076,,,,0.0
8,MetaDrive-Tut-5Env-v0,327,11.064795694658818,9967,10,30.42324423789978,,,,0.0
9,MetaDrive-Tut-5Env-v0,278,11.032780998086304,10065,11,36.18491315841675,0.010950196534395218,-0.026506775990128517,0.002459560986608267,0.0
10,MetaDrive-Tut-5Env-v0,51,2.8629690794951874,11004,43,213.98096442222595,-0.0033398009836673737,,0.8078997731208801,0.0
