,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,385,8.065604353176115,-0.008328561034674446,2.7635529493674253,0.05262732749972015,0.04429876705368933,1.1217590294969388,0.18061760067939758,1.001652338107427,10000,9,0,25.93763017654419,0.0
1,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,376,8.624665832270377,-0.005993098309502388,2.7077460759725325,0.08452539541400396,0.07853229725852799,1.4165061771105498,0.18964487314224243,0.9997792875155425,20000,21,1,53.08672642707825,0.0
2,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,376,10.640436097035623,-0.007740169739684997,2.6561240416306715,0.09716053837671494,0.08942036888180062,1.4914619411795567,0.24126960337162018,0.9989212210361774,30000,35,2,79.74127149581909,0.0
3,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,369,13.527314585234299,-0.011010252958975541,2.5818478737121975,0.17421365300050148,0.16320340008331605,1.8014370324902045,0.3318553566932678,0.9972492710137979,40000,49,3,108.36764597892761,0.0
4,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,363,15.484718947609437,-0.009404986115315785,2.4874875319309724,0.3188860203211124,0.3094810345926537,2.300252085389235,0.4865108132362366,1.000431887461589,50000,66,4,137.53849482536316,0.0
5,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,356,14.800437997963094,-0.007101636400255255,2.3822179996050323,0.759087183765876,0.7519855458766986,2.6795249060178414,0.496127188205719,0.9999194913949722,60000,100,5,168.377614736557,0.0
6,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,354,18.4407687154608,-0.006218443309458402,2.3107010731330284,1.089211733218951,1.0829932921207868,3.7378956168125836,0.766185998916626,0.998830601038077,70000,137,6,197.49405002593994,0.0
7,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,354,21.700424181010327,-0.007120473433333711,2.2012224374673304,1.2705297416601427,1.2634092735938536,4.56241798599561,1.1528385877609253,1.000139979674266,80000,168,7,225.77124071121216,0.0
8,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,348,25.819458348671574,-0.0034767943589637676,2.0603638557287365,3.0898064063145565,3.086329606557504,6.990123000970254,1.152384877204895,0.9980249134393838,90000,231,8,258.2490928173065,0.0
9,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,342,22.221798504461574,-0.005619284976273775,2.0646210921116364,3.7970072336685963,3.791387956570356,8.12511552236019,1.176203966140747,1.0001520830851334,100000,293,9,291.85655426979065,0.0
10,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,339,26.196606686188645,-0.0053886243643668985,1.984713046367352,5.524541608492533,5.5191529934222885,9.478527836310558,1.3194955587387085,1.0016411697253202,110000,369,10,324.4779269695282,0.0
11,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,336,38.522019816215,-0.006160876261165891,1.8957594211284932,7.2383051260923725,7.232144254293197,13.013697368670732,2.4518041610717773,1.000044812147434,120000,428,11,356.37686419487,0.0
12,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,335,52.867790550635306,-0.004791847357335381,1.873759247095157,8.895197574908916,8.890405712372218,17.229891650187664,2.72678542137146,0.9997304039123731,130000,482,12,387.19058084487915,0.01
13,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,334,64.74812040578323,-0.004710753453083527,1.8337892639331328,11.232303964174712,11.227593221419896,23.346853097279865,2.6595373153686523,0.999417314468286,140000,532,13,418.6907868385315,0.01
14,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,332,73.26027585182165,-0.0034592650866565795,1.7778625955948464,14.850494868938739,14.847035628098707,24.868061853066468,2.877305507659912,0.9998360343468495,150000,586,14,451.25778317451477,0.0
15,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,331,86.25870976773241,-0.002512215956663474,1.7393695825185531,13.923217565585405,13.92070529399774,30.42840636938046,2.9593522548675537,1.000170156894586,160000,628,15,482.36062455177307,0.02
16,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,330,110.01428157052423,-0.0016405742961722307,1.6419267431283608,20.464448723426234,20.462808046585476,42.849815448736535,3.9750115871429443,1.0003353412334735,170000,675,16,514.0621225833893,0.03
17,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,330,119.94372210052093,-0.0017993410786566063,1.5546755488102253,27.13228682982616,27.130487708556345,52.54527797087645,3.676513195037842,0.9997853164489453,180000,724,17,544.9632039070129,0.01
18,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,329,125.87711809903865,0.00011517068801017909,1.5055221010477116,30.27224173912635,30.272357055468436,60.61248019780868,4.099850177764893,1.0010091446913205,190000,773,18,576.3370084762573,0.01
19,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,328,135.18066768196775,-0.0020848648574871894,1.460420063825754,36.00298409584241,36.00089937356802,80.66134065236801,3.19000506401062,0.9997829982867608,200000,824,19,608.7814898490906,0.03
20,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,327,136.284837374484,-0.0030258845728941453,1.3993035487639598,37.511446987054285,37.508421032245344,83.13194813361535,2.743272066116333,0.999923190398094,210000,875,20,640.6007874011993,0.03
21,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,327,142.52108237747368,-0.0021118462157364076,1.3541697688591785,38.89204380328839,38.889931996663414,94.76241493225098,3.1073355674743652,0.999817748253162,220000,925,21,672.67587018013,0.01
22,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,325,136.75845583901892,-0.003988768087508969,1.2596210748721393,48.52696322416648,48.522974708752756,144.29918605119755,2.079569101333618,0.9996741006007561,230000,984,22,706.2705428600311,0.0
23,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,325,105.22297054545535,-0.003917027227819348,1.225802714091081,62.79447831373948,62.790561451056064,168.6656998854417,-0.9303286075592041,0.9991923437668727,240000,1057,23,738.1477541923523,0.03
24,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,325,103.14754037777904,-0.0049927066151912395,1.2209025007027847,53.8245088772896,53.81951630421174,173.41512770041442,0.34136199951171875,0.9989649940759707,250000,1121,24,769.0109732151031,0.01
25,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,323,125.30156526162715,-0.002720040465012575,1.2327520456069554,40.26892859141032,40.266208438384226,166.22749240581805,2.03450608253479,0.9999111082309332,260000,1177,25,802.7367813587189,0.02
26,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,322,129.40920161736761,-0.00032176588279887654,1.2342997352282206,53.15066444201347,53.15034293639354,187.33250187604855,0.8971735239028931,0.9996569355328878,270000,1236,26,836.3124825954437,0.02
27,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/ppo,321,129.399478260609,-0.001173626854776954,1.1765162795017927,51.549004637889375,51.54783095335349,178.67361240876028,0.4443693161010742,0.9994314858546623,280000,1297,27,869.6454765796661,0.03
