,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,success_rate
0,MetaDrive-Tut-Easy-v0,889,2.582941423026075,1004,5,1.1282415390014648,,0.007964896969497204,0.014211263507604599,0.0
1,MetaDrive-Tut-Easy-v0,223,-1.8722619871834874,2003,43,8.959393978118896,-0.0036080789286643267,0.8349840641021729,0.058490559458732605,0.0
2,MetaDrive-Tut-Easy-v0,181,-1.6785304745832845,3067,50,16.892162799835205,-0.11262299120426178,0.6352440118789673,0.032914452254772186,0.0
3,MetaDrive-Tut-Easy-v0,166,-1.832912239236933,4024,67,24.14993166923523,,2.068418264389038,-0.21325263381004333,0.0
4,MetaDrive-Tut-Easy-v0,157,-1.9804355688336812,5190,88,33.004817724227905,,0.048343706876039505,0.14048370718955994,0.0
5,MetaDrive-Tut-Easy-v0,152,-1.7441947830386983,6195,93,40.551839113235474,0.04456835985183716,0.7413869500160217,-0.1228734627366066,0.0
6,MetaDrive-Tut-Easy-v0,149,-1.5330750934528103,7200,98,48.09463620185852,,0.008707293309271336,0.17320244014263153,0.0
7,MetaDrive-Tut-Easy-v0,147,-1.4663473282277157,8004,102,54.135016679763794,,0.01630644127726555,0.04435863345861435,0.0
8,MetaDrive-Tut-Easy-v0,146,-1.3778136453177396,9009,107,61.624616861343384,0.08138526976108551,0.017969487234950066,-0.05147281289100647,0.0
9,MetaDrive-Tut-Easy-v0,144,-1.3993000989688724,10014,112,69.13728356361389,,0.01566259190440178,0.06336531043052673,0.0
10,MetaDrive-Tut-Easy-v0,143,-1.1565340029709845,11019,117,76.65449786186218,-0.12949100136756897,0.026543835178017616,0.13463462889194489,0.0
11,MetaDrive-Tut-Easy-v0,142,-0.90959582609672,12024,122,84.15187788009644,,0.05652816221117973,-0.04365989565849304,0.0
12,MetaDrive-Tut-Easy-v0,142,-0.6752912185051606,13029,127,91.67006778717041,-0.030975334346294403,0.03169228136539459,0.03818254917860031,0.0
13,MetaDrive-Tut-Easy-v0,141,-0.3233623813341937,14034,132,99.17737412452698,,0.026344168931245804,-0.016246609389781952,0.0
14,MetaDrive-Tut-Easy-v0,140,0.02249215412968667,15039,137,106.69046020507812,0.009020572528243065,0.011786358430981636,-0.004034113138914108,0.0
15,MetaDrive-Tut-Easy-v0,140,0.3658059486210034,16044,142,114.17968034744263,,0.006459110416471958,0.07871812582015991,0.0
16,MetaDrive-Tut-Easy-v0,139,0.996213129194639,17075,149,121.97828698158264,-0.13838297128677368,0.10012899339199066,0.11389987915754318,0.0
17,MetaDrive-Tut-Easy-v0,139,1.7202437172183667,18018,159,129.21853399276733,,1.2119837999343872,0.15228088200092316,0.0
18,MetaDrive-Tut-Easy-v0,138,2.8455583398818227,19043,168,137.0605285167694,-0.592265784740448,0.01878359168767929,0.540928304195404,0.0
19,MetaDrive-Tut-Easy-v0,138,3.7706703774065606,20003,180,144.39878845214844,-0.5103222131729126,0.07759420573711395,0.40746065974235535,0.0
20,MetaDrive-Tut-Easy-v0,138,4.794653074656835,21155,189,153.1235523223877,-0.699101984500885,0.05299213156104088,0.5927866697311401,0.0
21,MetaDrive-Tut-Easy-v0,137,6.1977025584807555,22083,195,160.17552542686462,-0.34451985359191895,0.07295526564121246,0.44295284152030945,0.0
22,MetaDrive-Tut-Easy-v0,137,7.141128385708367,23070,200,167.655606508255,,0.07163210958242416,0.964198887348175,0.0
23,MetaDrive-Tut-Easy-v0,137,8.125499196123831,24017,207,174.91637206077576,-1.0714001655578613,0.05872621387243271,1.0003137588500977,0.0
24,MetaDrive-Tut-Easy-v0,137,9.691489736447823,25126,216,183.3940818309784,,0.052277594804763794,1.0879898071289062,0.0
25,MetaDrive-Tut-Easy-v0,136,10.348121683083546,26123,227,191.06173014640808,-1.6011559963226318,0.22249376773834229,1.437565803527832,0.0
26,MetaDrive-Tut-Easy-v0,136,12.36906027329606,27015,233,197.90054178237915,-1.49027681350708,0.051786310970783234,1.4434765577316284,0.0
27,MetaDrive-Tut-Easy-v0,136,14.934160737020314,28086,240,206.12124252319336,,0.10481008142232895,1.6239597797393799,0.0
28,MetaDrive-Tut-Easy-v0,136,16.53413514358643,29036,249,213.44946908950806,,0.027248334139585495,1.7279932498931885,0.0
29,MetaDrive-Tut-Easy-v0,135,18.848715072019743,30010,257,220.99403953552246,,0.3976125121116638,1.880697250366211,0.0
30,MetaDrive-Tut-Easy-v0,135,23.724268358364395,31183,266,230.08530354499817,-2.4839606285095215,0.04962702840566635,2.331094264984131,0.02
31,MetaDrive-Tut-Easy-v0,135,27.27002396445651,32020,274,236.68050336837769,,0.04523133486509323,2.5640597343444824,0.03
32,MetaDrive-Tut-Easy-v0,135,34.093122705910304,33094,283,245.0667598247528,,0.23971430957317352,3.1880507469177246,0.07
33,MetaDrive-Tut-Easy-v0,134,37.956256830271585,34002,293,252.17419409751892,,4.1373291015625,3.601822853088379,0.09
34,MetaDrive-Tut-Easy-v0,134,41.67259689463727,35018,306,260.161554813385,,5.019488334655762,3.7243971824645996,0.09
35,MetaDrive-Tut-Easy-v0,134,47.40939903401185,36055,317,268.34900856018066,-5.192692756652832,4.990551471710205,5.07110595703125,0.11
36,MetaDrive-Tut-Easy-v0,134,54.3364782326503,37016,326,275.9990043640137,,0.4855099022388458,5.745860576629639,0.15
37,MetaDrive-Tut-Easy-v0,133,59.50437813683805,38081,336,284.5052309036255,-6.716679573059082,0.5031260251998901,6.413081169128418,0.17
38,MetaDrive-Tut-Easy-v0,133,63.129726353482425,39006,346,291.8703873157501,,2.5672409534454346,6.58585262298584,0.18
39,MetaDrive-Tut-Easy-v0,133,67.53131282637545,40115,357,300.7178316116333,-7.877842903137207,0.15496286749839783,7.559841156005859,0.21
40,MetaDrive-Tut-Easy-v0,133,68.28649874828665,41030,367,308.00106739997864,,0.3662598729133606,8.551475524902344,0.21
41,MetaDrive-Tut-Easy-v0,132,70.50358428107496,42107,378,316.59476947784424,-10.2239408493042,11.966911315917969,10.002102851867676,0.22
42,MetaDrive-Tut-Easy-v0,132,68.91149425191797,43068,388,324.2444314956665,,0.7162827253341675,11.489850044250488,0.17
43,MetaDrive-Tut-Easy-v0,132,71.73896931139336,44073,398,332.2902801036835,-12.794744491577148,1.650511384010315,12.625112533569336,0.16
44,MetaDrive-Tut-Easy-v0,132,74.2561349774936,45098,408,340.4631509780884,,1.0025248527526855,12.349000930786133,0.2
45,MetaDrive-Tut-Easy-v0,132,76.1385249713908,46116,417,348.598628282547,,2.3708372116088867,13.465105056762695,0.23
46,MetaDrive-Tut-Easy-v0,132,75.62659522627418,47051,426,356.0724482536316,-13.87617301940918,11.274755477905273,13.603867530822754,0.21
47,MetaDrive-Tut-Easy-v0,131,73.10199147407792,48020,437,363.826123714447,,5.319402694702148,15.572686195373535,0.2
48,MetaDrive-Tut-Easy-v0,131,70.89449236300358,49095,450,372.38329458236694,-15.391429901123047,0.9064894914627075,15.254162788391113,0.18
49,MetaDrive-Tut-Easy-v0,131,69.33346429548749,50047,461,379.98760962486267,-15.372486114501953,1.1733163595199585,15.41925048828125,0.15
50,MetaDrive-Tut-Easy-v0,131,67.78867041562472,51007,472,387.62135314941406,-15.317781448364258,7.533116817474365,15.70682430267334,0.14
51,MetaDrive-Tut-Easy-v0,131,66.81769973058279,52083,484,396.1970627307892,-18.058591842651367,2.694767713546753,17.16786766052246,0.12
