,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
24,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,396,3.320602360389692,-0.9987914686019604,0.3553167714140354,0.03737185358857879,0.006040282275838156,-0.9987914693661225,5.009667856265337,,0.9991536806791257,250000,492,24,631.1172006130219,0.0
25,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,396,3.480532634735892,-0.9990612448790135,0.3497454038797281,0.038033297151709215,0.011166448630870152,-0.9990612483941592,5.624291232457527,,0.9998704357024951,260000,517,25,655.8798186779022,0.0
26,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,3.6356357374765826,-1.001773652052268,0.18488023332678355,0.035812860952976804,0.015119223150973901,-1.0017736635146997,5.224525446922351,,1.0024037185387733,270000,542,26,682.7347466945648,0.0
27,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,394,3.0451946617809598,-1.0005176466244918,0.13663580589569532,0.03387469448722326,0.0033000231260815875,-1.0005176509037996,6.954928850974792,,1.0017468848289588,280000,573,27,709.960706949234,0.0
28,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,394,2.6819874273447932,-1.00018941118167,-0.015131273448992616,0.028352410548056164,0.00835201016579492,-1.0001894205044477,7.728601560531518,,1.0014380734700423,290000,597,28,735.9937920570374,0.0
29,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,394,2.687266021845447,-0.9992178979592445,-0.05941406983929949,0.025378000165502995,0.005783033536042636,-0.9992178984177418,6.800462406109541,,0.999730544976699,300000,616,29,760.7654163837433,0.0
30,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,2.5099701302718076,-0.9994387700007512,-0.1325803829010767,0.022652373757237235,0.008529957042983136,-0.9994387755027184,7.1568846847766485,,1.0002040826357328,310000,636,30,784.0412967205048,0.0
31,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,2.5378635861511025,-0.9992255400388669,-0.20830696685573993,0.019603803056554917,0.006103028451355222,-0.9992255484446501,8.350433025146142,,1.000089428975032,320000,652,31,808.2630088329315,0.0
32,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,2.7070554057865412,-0.9991131383639116,-0.3304307508545044,0.01984384662997073,0.005221130983987584,-0.9991131458527003,8.605626403674101,,0.9997898697853088,330000,668,32,834.442941904068,0.0
33,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,394,3.231238810540284,-0.9978499348347004,-0.49292427393106314,0.017638055452456076,0.007619431482042926,-0.9978499508821047,13.952127650915049,,1.0008666487840505,340000,681,33,860.8861093521118,0.0
34,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,394,3.3745796446641068,-0.9989970470086122,-0.541538066818164,0.018489278558617792,0.002847120377760476,-0.9989970630560165,12.422182575250284,,1.0014817817088886,350000,698,34,886.1009495258331,0.0
35,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,3.3870279706935786,-0.9979950328667958,-0.6241430146571917,0.017009178446964004,0.005156881308171134,-0.9979950409669143,14.945513507800225,,0.9996961213075197,360000,715,35,911.2284090518951,0.0
36,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,3.8353857700202014,-0.9975882346813495,-0.7234790210540478,0.015411306053806001,0.004875318546636173,-0.9975882495060945,15.277058222966316,,1.000070625085097,370000,730,36,935.2585401535034,0.0
37,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,4.0221784012651565,-0.9972295524218143,-0.7875106377479357,0.015100083334031157,0.0034388067511220773,-0.997229559910603,16.793784286578497,,0.9995615933185968,380000,744,37,960.0711786746979,0.0
38,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,396,4.32904675584379,-0.9975027414468619,-0.849315179616977,0.014052229557926647,0.002658861532481984,-0.9975027579527634,17.652767245127606,,0.9997433567658449,390000,758,38,983.1692786216736,0.0
39,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,396,4.303675812886411,-0.9972807312623049,-1.0096444733631917,0.015820491198116005,0.0019893962703346727,-0.9972807494493631,23.673161703806656,,1.0010384226456666,400000,776,39,1007.8941378593445,0.0
40,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,396,4.0196078240389905,-0.994715754649578,-1.1246912386172856,0.011867675994439289,0.0017923811112548439,-0.9947157754347875,29.82380944704398,,1.0010748147964477,410000,790,40,1032.947693347931,0.0
41,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,396,4.420726431459574,-0.9956974173203493,-1.2144860026163933,0.010972951069617501,0.004616025990496079,-0.9956974390225533,34.340587857442024,,1.0018718806596902,420000,804,41,1059.1914105415344,0.0
42,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,397,4.4002375176350315,-0.9976748538322938,-1.3848911597178533,0.011585401626563487,0.0027752306275756265,-0.9976748675872118,28.765956585529523,,1.0006062779671108,430000,820,42,1081.9173657894135,0.0
43,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,398,4.312513123411515,-0.9941863203660036,-1.5301198097375723,0.007018100449931808,0.004592361563267425,-0.9941863409983807,44.16431657198148,,1.002118415863086,440000,831,43,1105.2166159152985,0.0
44,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,398,4.540171548926688,-0.9932008063181853,-1.6704937201279861,0.007525552888714279,0.0014319947782683018,-0.9932008277147244,49.0736071846424,,1.0016888910379165,450000,842,44,1129.8963577747345,0.0
45,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,398,4.447617192084063,-0.9905061546044472,-1.7635147467637673,0.006290477092933053,0.002849617223135936,-0.9905061825727806,60.66543748898384,,1.0004278656763907,460000,855,45,1155.1009359359741,0.0
46,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,398,4.690751826343077,-0.9874777498917702,-1.8764638326106928,0.005160213542545441,0.0001807243187030485,-0.9874777775544387,70.33731180460025,,1.0008832537210905,470000,867,46,1180.180508852005,0.0
47,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,398,4.8593664982696,-0.9896748081231729,-2.037843623222449,0.005913627640947174,0.0011694455811476264,-0.989674835633009,80.24958842045221,,1.0008957499112838,480000,879,47,1204.5625205039978,0.0
48,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,399,4.997395233627227,-0.9898061162386185,-2.1177967468897503,0.0047335736996244986,0.0004486184691090901,-0.9898061474164327,76.83471447137686,,1.0004315495491027,490000,891,48,1227.5315783023834,0.0
49,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,399,4.703271679188941,-0.9869988947342604,-2.254641129420354,0.0055317851270210204,0.00331347539770202,-0.9869989291215554,101.65596790558253,,1.0008454552063575,500000,905,49,1251.419481754303,0.0
50,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,399,4.552073579679305,-0.9852510508818504,-2.3412851309164977,0.00377523431756671,0.0009014310518978164,-0.9852510846578157,116.0142071888997,,1.0018760832456441,510000,919,50,1275.4930307865143,0.0
51,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,400,4.674425335589197,-0.9872379617813306,-2.391959669651129,0.004114685402395807,0.004627253485318178,-0.9872379931119772,109.69003844658533,,1.0000983921381144,520000,930,51,1298.0266346931458,0.0
52,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,401,4.466673661324278,-0.9720975415828901,-2.6225140773333036,0.0032502211564860773,0.0005971310575729989,-0.9720975836118062,178.6768749622198,,1.0016729345688453,530000,941,52,1321.1125502586365,0.0
53,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,401,4.1719081744288555,-0.9681925798073793,-2.675243349564381,0.0060058616686337,0.0020679677325414303,-0.9681926218362955,209.1552563288273,,1.000946209522394,540000,955,53,1344.7638714313507,0.0
54,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,401,4.330012119701311,-0.9795689054024526,-2.777148904555883,0.003776971858986564,6.484815199562432e-05,-0.9795689388727531,190.59477637975644,,1.0007826157105275,550000,966,54,1369.5987553596497,0.0
55,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,402,4.4978745778533025,-0.9638528855947348,-2.819281532825568,0.0035746728267137466,7.664134693699546e-05,-0.963852924719835,222.70039255374516,,0.9988939240956918,560000,978,55,1391.8252935409546,0.0
56,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,402,4.675491958981371,-0.969963928216543,-2.8769417212559625,0.004631096914311993,0.0027728921979313526,-0.9699639679529728,212.44286625629817,,1.0017166767364893,570000,988,56,1414.6556770801544,0.0
57,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,402,4.744127010056783,-0.9809188917661325,-2.9607591659594803,0.00375771076585993,0.0013075684096129875,-0.9809189269175896,216.88663036609307,,1.000274297212943,580000,999,57,1439.5816357135773,0.0
58,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,403,5.273190132411625,-0.9643334466677446,-3.027203304339678,0.0034179238801675055,0.00038302132038202564,-0.9643334828890286,282.8914533382807,,0.9984123634986388,590000,1012,58,1461.8997964859009,0.0
59,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,403,5.44480455576076,-0.958917140807861,-3.091114253264207,0.003527560076079867,0.0008709348023470599,-0.9589171869632526,303.07619261252574,,1.0006429757827366,600000,1023,59,1485.5794413089752,0.0
60,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,5.3370726185343935,-0.9691997431791746,-3.1611737691439115,0.0033307868277834365,0.0021562299297865815,-0.9691997792476262,284.2650237792578,,1.0004479337961245,610000,1036,60,1507.2814271450043,0.0
61,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,5.53297064220308,-0.9389491119445899,-3.23252850373586,0.004679760845026929,3.543951250041853e-05,-0.9389491614622948,410.644318713286,,0.9982254402759748,620000,1049,61,1532.32208776474,0.0
62,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,4.895690244081178,-0.9626697706870544,-3.297658436726301,0.004718943591815798,0.0015256495003063135,-0.9626698130216353,339.20761278225825,,1.0008249953771249,630000,1067,62,1556.760811805725,0.0
63,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,4.897086098199876,-0.9476261678414467,-3.319709125543252,0.0035439806887529227,0.0001355901775427927,-0.9476262101760278,394.49628627972726,,1.0012417915539864,640000,1078,63,1580.6988244056702,0.0
64,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,4.441742220045605,-0.9397984651418833,-3.3264073763138207,0.0030398504880838283,0.00039038322328661495,-0.9397985157294151,443.9450422898317,,1.0006110654427456,650000,1094,64,1605.1506962776184,0.0
65,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,4.325683418090897,-0.9525132295412895,-3.442685639552581,0.0035412797994444517,0.0005860288987698881,-0.9525132842552968,457.31143032220695,,1.0014758629676623,660000,1108,65,1630.2101571559906,0.0
66,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,4.242686119588236,-0.9541997654315753,-3.502690281623449,0.00355361455525641,0.000786566578552503,-0.9541998109756372,470.5459227830936,,1.0010404002972138,670000,1123,66,1655.9437942504883,0.0
67,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,4.273223261012454,-0.952132078164663,-3.514474192032447,0.0027090122645929042,0.00041372224923412807,-0.9521321250842167,443.0948399079152,,0.9987703890372546,680000,1133,67,1680.248694896698,0.0
68,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,405,4.259870577897598,-0.9600740772027235,-3.526204238182459,0.002584833253970432,1.4548524540003154e-05,-0.9600741195373046,378.5701870857141,,1.001097261447173,690000,1145,68,1702.3999149799347,0.0
69,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,405,4.822931297511749,-0.945550970083628,-3.6007733473410974,0.002370089074702264,6.39063644321607e-05,-0.9455510199069976,483.26463114237174,,1.0006990843858474,700000,1155,69,1725.674766778946,0.0
70,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,405,5.113804503215585,-0.9140162697205176,-3.8113137245178224,0.0021470035986683985,0.0006921319696023905,-0.9140163152645796,604.4854545593262,,1.005145267339853,710000,1168,70,1749.6717441082,0.0
71,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,405,4.765970488985889,-0.9595486914500212,-3.883576780099135,0.0026149646574723214,9.1534070391693e-05,-0.9595487377582452,494.78957534569963,,1.0015735967037005,720000,1184,71,1774.589903831482,0.0
72,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,405,4.630492081253919,-0.9259366183708876,-3.943938550582299,0.0023296342804688046,8.336457954684215e-05,-0.9259366669715979,606.4583479917966,,0.99882179972453,730000,1201,72,1799.8040046691895,0.0
73,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,406,4.235167484525147,-0.9084583265659136,-4.0585053590627815,0.0017362498168483561,3.556358395797314e-05,-0.9084583748609592,722.1243447737816,,0.997589844923753,740000,1217,73,1821.9758613109589,0.0
74,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,406,4.099263841761759,-0.9285724933330829,-4.085225703166081,0.00236207277987724,0.00022779630652131836,-0.9285725460602687,722.4222236651641,,1.0000710285626926,750000,1232,74,1846.2251937389374,0.0
75,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,406,3.604847778855916,-0.9322982245530838,-3.93706879004454,0.003221013840874758,0.00030698067874674543,-0.9322982688744863,594.8515179047217,,0.9985375297375214,760000,1248,75,1870.2806286811829,0.0
76,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,406,3.1961857962646345,-0.9372098149397434,-3.860480616031549,0.002411177753564959,4.5035288470292777e-05,-0.9372098635404538,514.3070335583809,,0.999867079502497,770000,1276,76,1895.5384554862976,0.0
77,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,405,3.4727550597048706,-0.929885515341392,-4.024567520924103,0.004094962865182867,0.0022249064142576967,-0.9298855665402534,617.4826910459078,,1.0017226666976244,780000,1315,77,1922.550582408905,0.0
78,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,3.0871333401542285,-0.9325581784431751,-4.0696517968789125,0.006225288485550734,0.0020818992532067337,-0.9325582249042316,691.5136553862156,,1.0002992999859346,790000,1403,78,1953.9759113788605,0.0
79,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,403,2.824309942080626,-0.9233296466179383,-4.088407463905138,0.0057727751690552585,0.004644734842571406,-0.923329694607319,679.0669034737807,,0.9997138908276191,800000,1477,79,1983.807774066925,0.0
80,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,401,3.8847770631507017,-0.930688048631717,-4.067397547990848,0.007366968017688636,0.003609610105363222,-0.9306880987607515,676.5273465401087,,0.9994594460878616,810000,1604,80,2017.8727898597717,0.0
81,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,399,3.3075376043738847,-0.9216260992563687,-4.129921841621399,0.007039892928169604,0.0003751540639757131,-0.9216261524420518,757.4907255050464,,1.0008677537624653,820000,1737,81,2053.0521705150604,0.0
82,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,397,3.6162881873469854,-0.9246810732743679,-4.3032195519178345,0.006170028625582255,0.002313148517621299,-0.9246811192769271,747.729978523499,,0.9990122733972011,830000,1880,82,2088.6044976711273,0.0
83,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,395,3.145281251627128,-0.8924672823685866,-4.300563144683838,0.004569003617973813,0.00029559334400871125,-0.8924673370825938,820.6205923936305,,1.0022753276886085,840000,2018,83,2123.6098396778107,0.0
84,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,393,3.6224781349211996,-0.9034183154503505,-4.4639512575589695,0.0044427558150626,0.0003297555640575667,-0.9034183661142985,854.485097647936,,0.9988127520451179,850000,2158,84,2158.0105440616608,0.0
85,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,392,3.693746071997243,-0.8814949486500178,-4.529469803052071,0.0035768679677344968,0.0002538006688924865,-0.881495003364025,1073.0424821676352,,1.0019233618027126,860000,2286,85,2193.5157227516174,0.0
86,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,391,3.1879399300025932,-0.865132635526168,-4.455574342532036,0.0022631510925725123,0.00022575292863714425,-0.8651326803060678,964.4370762702746,,0.9968199266837193,870000,2351,86,2221.7337119579315,0.0
87,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,390,3.5259056977909027,-0.8918500602245331,-4.582613156392024,0.0018346504696987373,8.848582172690957e-05,-0.8918501120347243,977.7166930932265,,1.002347534742111,880000,2415,87,2251.246735095978,0.0
88,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,389,3.672148499762752,-0.9054661652216545,-4.740029534315451,0.002367720634724836,0.0004909575056398096,-0.9054662135167,947.3893436994308,,0.9992605878756596,890000,2494,88,2282.486968278885,0.0
89,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,388,3.272481822544589,-0.9049807276481238,-4.739217465963119,0.003299548923011268,0.0004648475055149995,-0.904980777318661,1012.1676458786695,,1.0043366899857153,900000,2600,89,2315.5460982322693,0.0
90,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,387,3.283237869236159,-0.8633463342984518,-4.817869029900966,0.002589801542643937,0.0011122852374310008,-0.8633463732707195,1135.3392007412056,,1.0020104221808606,910000,2726,90,2349.6614463329315,0.0
