,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-10Env-v0,445,12.025090372502348,2001,2,4.49516224861145,,,,0.0
1,MetaDrive-Tut-10Env-v0,395,9.072490679186668,3574,4,9.032647371292114,,,,0.0
2,MetaDrive-Tut-10Env-v0,408,9.367433341983482,4575,5,11.198366403579712,,,,0.0
3,MetaDrive-Tut-10Env-v0,426,10.041539559995492,5576,6,13.071415662765503,,,,0.0
4,MetaDrive-Tut-10Env-v0,423,10.153454540359434,6577,7,15.542383670806885,,,,0.0
5,MetaDrive-Tut-10Env-v0,393,10.498923035030568,7578,8,19.2822003364563,,,,0.0
6,MetaDrive-Tut-10Env-v0,394,10.290740511699044,8579,9,21.73456621170044,,,,0.0
7,MetaDrive-Tut-10Env-v0,390,9.417615147342485,9956,11,25.52326798439026,,,,0.0
8,MetaDrive-Tut-10Env-v0,346,8.926997843746534,10051,12,29.015364170074463,0.014288092963397503,-0.006847609765827656,0.0024603805504739285,0.0
9,MetaDrive-Tut-10Env-v0,53,0.4322665308352572,11025,50,206.510356426239,0.03196066617965698,-0.008384202606976032,0.20337198674678802,0.0
