,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,392,7.7100719209917985,-0.0060062641803270735,2.7953940495466574,0.051677274718307534,0.045671010116497296,1.2490360245872767,0.1801425665616989,1.0007954832835075,10000,7,0,25.445688486099243,0.0
1,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,376,10.078676200301945,-0.00757071760077125,2.752462505682921,0.06228303461789321,0.054712316853543504,1.2173091946121974,0.22278551757335663,1.0000531354011633,20000,21,1,53.17836570739746,0.0
2,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,372,12.115031619858925,-0.010454443374123329,2.7028662021343526,0.10422524414383448,0.09377079981450852,1.5774853411393288,0.2926035523414612,0.9987362164717454,30000,33,2,80.45866560935974,0.0
3,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,362,13.784684112853826,-0.007746846749423406,2.6196700841952594,0.2375736188239012,0.22982677094017465,2.1203107395997414,0.3905673325061798,0.9971408483309624,40000,51,3,110.29299235343933,0.0
4,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,351,15.219597677301284,-0.00721656732643262,2.5125362298427483,0.48691495404793667,0.47969838900443834,2.633980686083818,0.5223073363304138,1.000394052419907,50000,75,4,142.12640762329102,0.0
5,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,334,15.10554420751326,-0.004206932945033679,2.416204086939494,1.1242413539152878,1.120034421560092,3.5416817070581974,0.5209764242172241,1.0001054565111795,60000,120,5,179.14958429336548,0.0
6,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,325,15.564873941247232,-0.003946381748821109,2.3437864682613276,1.4212860229687814,1.417339640397292,4.347010732766909,0.6237777471542358,0.9991591531496782,70000,167,6,214.9767746925354,0.0
7,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,322,19.178531119479675,-0.0062918675860437825,2.297782831925612,1.435711054618542,1.4294191840367438,4.938045079585834,0.9573708772659302,1.0014264089938922,80000,204,7,248.15224528312683,0.0
8,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,312,18.731209329541574,-0.003022814789213813,2.2215159617937528,2.803250704973172,2.8002278957611475,6.033664622215125,0.695246160030365,0.9987364610036215,90000,271,8,288.28432989120483,0.0
9,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,307,20.63577470697351,-0.004053850677341987,2.1200251096334215,3.2881680800364568,3.284114231513097,8.119050459678357,1.2257039546966553,0.9996636471687219,100000,331,9,325.14365315437317,0.0
10,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,301,14.685958055987612,-0.006020514348235268,2.0768307025615984,5.027288114107572,5.021267576706715,8.137734145384568,0.38399964570999146,0.9988474696110456,110000,424,10,365.30907464027405,0.0
11,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,299,21.073396663340674,-0.006697249843571813,1.9897505142749885,4.172876242490915,4.166178973515828,9.389902437038911,1.0969929695129395,0.9977943470844856,120000,487,11,401.3064386844635,0.0
12,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,297,30.033201213866796,-0.004784950356070812,1.9578760614761939,6.229830666688772,6.225045738464747,11.151051970628592,1.586014986038208,0.9992588332066169,130000,554,12,437.15688967704773,0.0
13,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,295,34.91735970139892,-0.0038176832290796135,1.8756841274408194,9.064859832861485,9.061042151084314,15.955425646060553,1.7404413223266602,1.0001962158924493,140000,629,13,474.18673634529114,0.0
14,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,294,50.520069432768786,-0.003343838899850081,1.7819128944323612,10.273286060186534,10.269942193153577,21.782581705619126,3.0488078594207764,0.9994489675913102,150000,689,14,509.9448480606079,0.0
15,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,294,67.94925747872428,-0.0028370491133477443,1.697581170155452,14.442744321089524,14.439907166896722,29.412714329132665,3.50380539894104,1.0004321553768256,160000,749,15,542.3917844295502,0.0
16,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,294,69.88395546003733,-0.0024353432098928934,1.6487232440557236,21.75354942175058,21.751114121461526,41.67511126322624,3.162299871444702,0.9997148406811249,170000,817,16,577.2912254333496,0.0
17,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,294,85.36027602390314,-0.0036848405208916237,1.5827796685389983,25.189329225589066,25.185644347851092,49.79780691342476,3.6891748905181885,0.9989629844824474,180000,877,17,612.1633024215698,0.0
