,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-1Env-v0,232,4.685097036144128,1455,2,6.262368679046631,,,,0.0
1,MetaDrive-Tut-1Env-v0,241,6.5095780707859605,2456,3,10.155707359313965,,,,0.0
2,MetaDrive-Tut-1Env-v0,245,5.702399563287339,3709,5,15.123051404953003,,,,0.0
3,MetaDrive-Tut-1Env-v0,246,6.550075084369435,4710,6,19.12794256210327,,,,0.0
4,MetaDrive-Tut-1Env-v0,242,7.478136738945002,5711,7,23.579153299331665,,,,0.0
5,MetaDrive-Tut-1Env-v0,238,8.120705869075081,6712,8,28.12395405769348,,,,0.0
6,MetaDrive-Tut-1Env-v0,211,7.840930290395363,7532,9,35.69230508804321,,,,0.0
7,MetaDrive-Tut-1Env-v0,183,8.067168860618258,8533,10,46.62075161933899,,,,0.0
8,MetaDrive-Tut-1Env-v0,140,7.694573887314618,9983,12,70.99267220497131,,,,0.0
